trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,drugs,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
32,IBP,0.2063,0.3073,0.0373,0,27,1,25.0,s3,s6,28,
33,LOV,0.4045,0.4196,0.0728,2,10,16,25.0,s4,s8,26,
34,DCF,0.2962,0.4364,0.0493,1,26,2,25.0,s8,s2,28,
35,GLV,0.3528,0.281,0.0711,5,12,17,25.0,s4,s8,29,
36,IBP,0.2063,0.3073,0.0373,0,30,0,25.0,s7,s6,30,
37,LOV,0.4045,0.4196,0.0728,2,10,15,25.0,s4,s8,25,
38,DCF,0.2962,0.4364,0.0493,1,36,0,25.0,s8,s2,36,
39,GLV,0.3528,0.281,0.0711,5,10,15,25.0,s4,s8,25,
