trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
12,0,0,100,84,48,48,93,5,70,1,69,,,,,,
13,0,0,100,0,100,47,100,0,0,1,100,,,,,,
14,0,0,0,100,0,46,100,0,100,1,100,,,,,,
15,0,0,0,0,100,48,100,100,69,1,1,,,,,,
16,100,0,100,100,100,50,100,0,100,1,1,,,,,,
17,0,0,100,11,0,45,100,100,68,1,100,,,,,,
