trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
12,0.206,0.307,0.037,6,43,0,0,0,0,100,15,1,87,,,,,,
13,0.206,0.307,0.037,71,0,0,0,0,0,100,0,50,100,,,,,,
14,0.206,0.307,0.037,100,44,100,0,0,100,100,0,1,100,,,,,,
15,0.206,0.307,0.037,73,0,0,0,0,46,100,0,1,100,,,,,,
16,0.206,0.307,0.037,0,0,0,0,0,0,100,100,47,62,,,,,,
17,0.206,0.307,0.037,0,0,0,0,0,48,100,0,7,42,,,,,,
