trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,success,absorbance,prior_best_vol,is_new_record,status
0,IBP,E9,F1,0,H1,A1,2,0.0,0.0,0.0,0.0,690.0,0.0,85.0,0.0,775.0,1,0.0345,1200.0,True,COMPLETED
1,IBP,E11,F3,0,H1,A1,2,0.0,0.0,715.0,0.0,0.0,0.0,0.0,90.0,805.0,1,0.039,1200.0,True,COMPLETED
