trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,success,absorbance,vol_actual,vol_with_penalty,status,plate_num,batch_start_well
0,IBP,E1,E1,0,A3,D4,1,0.0,0.0,0.0,0.0,690.0,0.0,85.0,0.0,775.0,1,0.036,775.0,775.0,COMPLETED,1,E1
1,IBP,E2,E3,0,A3,D4,1,0.0,0.0,715.0,0.0,0.0,0.0,0.0,90.0,805.0,1,0.036,805.0,805.0,COMPLETED,1,E1
