trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
48,0.4045,0.4196,0.0728,0,0,0,0,8,0,0,0,12,100,,,
49,0.4045,0.4196,0.0728,81,0,0,0,0,0,0,0,1,100,,,
50,0.4045,0.4196,0.0728,0,0,0,0,0,0,1,0,37,100,,,
