trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
12,0.206,0.307,0.037,5,0,0,19,0,39,90,0,54,100,,,,
13,0.206,0.307,0.037,0,0,100,0,0,34,88,0,53,100,,,,
14,0.206,0.307,0.037,0,43,49,100,0,46,100,0,1,100,,,,
15,0.206,0.307,0.037,72,0,0,100,0,41,89,0,57,100,,,,
16,0.206,0.307,0.037,0,0,0,0,100,41,100,0,57,100,,,,
17,0.206,0.307,0.037,72,0,100,0,0,0,87,0,57,100,,,,
