Variable Name,Value
NUM_ITERATIONS,5
TRIALS_PER_ITERATION,2
REPLICATES,2
SURFACTANT_VOL_REDUCTION,20.0
DRUG_CHOICES,IBP
ABSORBANCE_THRESHOLD,0.06
NUM_RANDOM_TRIALS,1
