trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
60,0.2063,0.3073,0.0373,0,0,0,0,22,0,31,0,28,100,,,
61,0.2063,0.3073,0.0373,0,0,0,16,21,0,72,0,28,100,,,
62,0.2063,0.3073,0.0373,0,26,0,0,0,0,89,15,57,100,,,
