trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,obj_surf_conc
120,IBP,0.2063,0.3073,0.0373,0,0,31,25.0,s1,s3,s7,31,
121,LOV,0.4045,0.4196,0.0728,0,0,37,25.0,s1,s3,s7,37,
122,DCF,0.2962,0.4364,0.0493,0,0,35,25.0,s1,s3,s7,35,
123,GLV,0.3528,0.281,0.0711,26,0,37,25.0,s1,s3,s7,63,
