trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
0,IBP,0.2063,0.3073,0.0373,47,59,49,32,96,8,9,35,85,100,,,
1,IBP,0.2063,0.3073,0.0373,74,0,89,66,22,52,58,79,34,100,,,
2,LOV,0.4045,0.4196,0.0728,78,88,1,3,32,94,44,58,1,100,,,
3,LOV,0.4045,0.4196,0.0728,1,46,61,95,62,50,99,0,51,100,,,
4,DCF,0.2962,0.4364,0.0493,16,82,86,83,70,23,34,65,21,100,,,
5,DCF,0.2962,0.4364,0.0493,94,27,27,17,47,67,83,21,71,100,,,
6,GLV,0.3528,0.281,0.0711,58,65,63,55,7,76,19,43,93,100,,,
7,GLV,0.3528,0.281,0.0711,32,20,24,45,88,31,73,99,43,100,,,
