trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
18,0,0,100,0,0,0,100,100,55,1,100,,,,,,
19,0,0,86,0,0,45,100,100,100,1,100,,,,,,
20,0,0,100,0,0,100,100,100,59,1,100,,,,,,
21,0,0,0,0,0,0,100,100,74,1,100,,,,,,
22,0,0,100,3,0,40,0,100,57,1,100,,,,,,
23,0,0,100,14,0,33,100,100,37,1,100,,,,,,
