trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
12,0.206,0.307,0.037,0,0,100,100,0,0,0,0,100,99,,,,
13,0.206,0.307,0.037,0,0,0,100,0,0,0,0,1,18,,,,
14,0.206,0.307,0.037,0,0,28,100,0,0,0,0,1,100,,,,
