trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
18,0.206,0.307,0.037,0,0,100,79,0,0,100,0,1,100,,,,
19,0.206,0.307,0.037,0,0,100,0,0,0,100,100,100,1,,,,
20,0.206,0.307,0.037,56,0,100,0,0,64,100,0,35,100,,,,
21,0.206,0.307,0.037,0,0,0,1,100,46,100,0,71,1,,,,
22,0.206,0.307,0.037,7,0,100,0,100,100,100,100,70,100,,,,
23,0.206,0.307,0.037,0,0,100,1,0,0,64,0,83,1,,,,
