trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
0,47,59,49,31,96,8,9,35,85,76,89,88,81,86,,,,,,
1,93,38,50,84,50,65,78,53,26,20,36,5,29,1,,,,,,
2,51,77,13,24,19,94,27,92,2,28,16,30,60,53,,,,,,
3,8,20,88,72,73,36,60,21,62,75,58,63,12,38,,,,,,
4,22,93,75,52,54,24,49,77,22,5,7,56,71,19,,,,,,
5,68,10,25,0,1,56,64,10,63,97,66,38,19,97,,,,,,
