trial_index,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,IBP_surf_conc,LOV_surf_conc,DCF_surf_conc,GLV_surf_conc
0,12,39,20,25.0,s8,s6,s7,71,,,,
1,51,4,40,25.0,s3,s2,s6,95,,,,
2,1,56,0,25.0,s5,s7,s3,57,,,,
3,28,6,14,25.0,s3,s3,s8,48,,,,
4,27,63,3,25.0,s1,s4,s5,93,,,,
5,40,29,22,25.0,s6,s8,s7,91,,,,
6,5,24,18,25.0,s1,s1,s6,47,,,,
7,10,1,36,25.0,s6,s5,s1,47,,,,
