trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
0,0.206,0.307,0.037,48,59,49,31,96,8,10,34,85,77,,,,
1,0.206,0.307,0.037,95,21,75,63,42,71,55,99,35,2,,,,
2,0.206,0.307,0.037,52,99,4,13,22,89,28,57,18,33,,,,
