trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,success,absorbance,prior_best_vol,is_new_record,status
2,IBP,A9,A9,0,E3,E1,2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1070.0,1075.0,1,0.0355,1095.0,True,COMPLETED
3,IBP,A11,A11,0,E3,E1,2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1070.0,1075.0,1,0.039,1095.0,True,COMPLETED
