trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
88,IBP,0.2063,0.3073,0.0373,23,0,25.0,s7,s4,23,
89,LOV,0.4045,0.4196,0.0728,4,25,25.0,s4,s8,29,
90,DCF,0.2962,0.4364,0.0493,31,0,25.0,s7,s4,31,
91,GLV,0.3528,0.281,0.0711,8,58,25.0,s4,s8,66,
92,IBP,0.2063,0.3073,0.0373,23,0,25.0,s7,s4,23,
93,LOV,0.4045,0.4196,0.0728,5,16,25.0,s4,s8,21,
94,DCF,0.2962,0.4364,0.0493,31,0,25.0,s7,s4,31,
95,GLV,0.3528,0.281,0.0711,9,42,25.0,s4,s8,51,
