trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
0,47,59,49,31,96,8,9,35,85,77,89,,,,,,
1,92,28,51,69,27,83,70,58,36,30,3,,,,,,
2,53,81,8,21,17,73,48,97,20,14,29,,,,,,
3,7,7,92,84,61,49,82,24,69,68,69,,,,,,
4,21,88,68,90,72,15,35,81,3,50,41,,,,,,
5,65,24,32,2,2,93,95,1,55,95,51,,,,,,
