trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,obj_total_vol
24,IBP,E1,E1,1,G3,C4,2,130.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,140.0,
25,IBP,E3,E3,1,G3,C4,2,130.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,140.0,
26,IBP,E5,E5,1,G3,C4,2,130.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,140.0,
27,IBP,E7,E7,1,G3,C4,2,130.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,140.0,
28,IBP,E9,E9,1,G3,C4,2,130.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,140.0,
29,IBP,E11,E11,1,G3,C4,2,130.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,140.0,
