trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
32,IBP,0.2063,0.3073,0.0373,0,26,0,0,100,0,100,0,100,100,,,
33,IBP,0.2063,0.3073,0.0373,0,18,0,0,0,0,100,0,100,100,,,
34,LOV,0.4045,0.4196,0.0728,0,100,0,0,0,0,100,0,100,100,,,
35,LOV,0.4045,0.4196,0.0728,0,100,0,0,100,0,100,0,100,100,,,
36,DCF,0.2962,0.4364,0.0493,0,53,0,0,0,0,100,0,100,100,,,
37,DCF,0.2962,0.4364,0.0493,0,59,0,0,100,0,100,0,100,100,,,
38,GLV,0.3528,0.281,0.0711,100,0,0,0,100,0,100,0,100,100,,,
39,GLV,0.3528,0.281,0.0711,49,0,0,0,0,0,100,0,1,100,,,
