trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
30,0,0,0,0,100,0,0,0,68,1,1,,,,,,
31,0,100,0,100,100,0,100,0,68,1,100,,,,,,
32,100,100,100,100,0,71,68,0,68,1,100,,,,,,
33,100,0,0,0,0,0,100,0,68,1,100,,,,,,
34,100,0,100,100,0,0,0,100,68,1,1,,,,,,
35,0,100,100,0,100,100,0,0,68,1,100,,,,,,
