trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
40,IBP,0.2063,0.3073,0.0373,13,18,25.0,s4,s8,31,
41,LOV,0.4045,0.4196,0.0728,9,18,25.0,s4,s8,27,
42,DCF,0.2962,0.4364,0.0493,9,18,25.0,s4,s8,27,
43,GLV,0.3528,0.281,0.0711,25,18,25.0,s4,s8,43,
44,IBP,0.2063,0.3073,0.0373,11,18,25.0,s4,s8,29,
45,LOV,0.4045,0.4196,0.0728,18,18,25.0,s4,s8,36,
46,DCF,0.2962,0.4364,0.0493,14,18,25.0,s4,s8,32,
47,GLV,0.3528,0.281,0.0711,36,18,25.0,s4,s8,54,
