trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,drugs,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
40,IBP,0.2063,0.3073,0.0373,0,14,16,25.0,s7,s4,30,
41,LOV,0.4045,0.4196,0.0728,2,17,10,25.0,s7,s8,27,
42,DCF,0.2962,0.4364,0.0493,1,9,42,25.0,s4,s4,51,
43,GLV,0.3528,0.281,0.0711,5,8,49,25.0,s7,s4,57,
44,IBP,0.2063,0.3073,0.0373,0,12,21,25.0,s4,s4,33,
45,LOV,0.4045,0.4196,0.0728,2,5,23,25.0,s4,s4,28,
46,DCF,0.2962,0.4364,0.0493,1,26,4,25.0,s2,s5,30,
47,GLV,0.3528,0.281,0.0711,5,6,12,25.0,s6,s1,18,
