trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
16,IBP,0.2063,0.3073,0.0373,0,100,100,0,0,0,100,100,100,100,,,
17,IBP,0.2063,0.3073,0.0373,0,100,0,0,0,100,100,100,100,100,,,
18,LOV,0.4045,0.4196,0.0728,0,100,100,0,0,0,100,100,100,100,,,
19,LOV,0.4045,0.4196,0.0728,0,100,0,3,0,100,100,0,100,100,,,
20,DCF,0.2962,0.4364,0.0493,0,100,100,0,0,0,100,100,100,100,,,
21,DCF,0.2962,0.4364,0.0493,0,100,0,3,0,100,100,0,100,100,,,
22,GLV,0.3528,0.281,0.0711,0,100,100,0,0,0,100,100,100,100,,,
23,GLV,0.3528,0.281,0.0711,0,100,0,13,0,100,100,100,100,100,,,
