trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
80,IBP,0.2063,0.3073,0.0373,0,11,25.0,s7,s4,11,
81,LOV,0.4045,0.4196,0.0728,5,63,25.0,s6,s1,68,
82,DCF,0.2962,0.4364,0.0493,24,29,25.0,s7,s4,53,
83,GLV,0.3528,0.281,0.0711,10,80,25.0,s6,s1,90,
84,IBP,0.2063,0.3073,0.0373,6,14,25.0,s7,s4,20,
85,LOV,0.4045,0.4196,0.0728,5,79,25.0,s6,s1,84,
86,DCF,0.2962,0.4364,0.0493,10,7,25.0,s7,s4,17,
87,GLV,0.3528,0.281,0.0711,9,82,25.0,s6,s1,91,
