trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
32,IBP,0.2063,0.3073,0.0373,8,10,25.0,s4,s4,18,
33,LOV,0.4045,0.4196,0.0728,5,9,25.0,s4,s4,14,
34,DCF,0.2962,0.4364,0.0493,6,11,25.0,s4,s4,17,
35,GLV,0.3528,0.281,0.0711,6,8,25.0,s4,s4,14,
36,IBP,0.2063,0.3073,0.0373,7,8,25.0,s4,s4,15,
37,LOV,0.4045,0.4196,0.0728,6,10,25.0,s4,s4,16,
38,DCF,0.2962,0.4364,0.0493,6,9,25.0,s4,s4,15,
39,GLV,0.3528,0.281,0.0711,6,10,25.0,s4,s4,16,
