trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
12,8,0,0,84,49,0,30,24,100,1,100,,,,,,
13,8,3,87,83,56,48,83,24,71,37,68,,,,,,
14,100,0,0,7,0,44,0,0,0,1,100,,,,,,
15,0,100,0,83,100,50,0,0,100,1,1,,,,,,
16,9,0,100,84,49,0,100,24,40,1,100,,,,,,
17,100,0,0,85,0,0,0,27,100,6,100,,,,,,
