trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,original_total_vol,reported_vol,success,absorbance,prior_best_vol,is_new_record,status
33,GLV,D7,D7,0,E8,G4,2,0.0,0.0,0.0,0.0,30.0,0.0,110.0,0.0,140.0,140.0,0,1.244,155.0,False,COMPLETED
34,GLV,D9,D9,0,E8,G4,2,0.0,0.0,0.0,0.0,35.0,0.0,105.0,0.0,140.0,140.0,0,1.0745,155.0,False,COMPLETED
35,GLV,D11,D11,0,E8,G4,2,0.0,0.0,0.0,0.0,50.0,0.0,90.0,0.0,140.0,140.0,0,0.5075,155.0,False,COMPLETED
