trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,obj_surf_conc
8,IBP,0.2063,0.3073,0.0373,0.6651598496380778,10.445645361240768,1.3175021282764043,25.0,s7,s6,s4,12.42830733915525,
9,IBP,0.2063,0.3073,0.0373,4.499704826062515,4.088974650285013,15.582146035663152,25.0,s4,s4,s4,24.17082551201068,
10,LOV,0.4045,0.4196,0.0728,39.32172841352902,6.393896397306803,3.6277474511476338,25.0,s7,s7,s4,49.34337226198346,
11,LOV,0.4045,0.4196,0.0728,3.572002031696797,3.8943429047291227,1.1190827508906849,25.0,s2,s7,s4,8.585427687316605,
12,DCF,0.2962,0.4364,0.0493,3.779152894978427,8.39727885977964,19.534267669823485,25.0,s2,s7,s2,31.710699424581552,
13,DCF,0.2962,0.4364,0.0493,12.512060547060253,10.656898163980584,18.794990584640008,25.0,s2,s3,s4,41.96394929568085,
14,GLV,0.3528,0.281,0.0711,38.527280475647075,5.935756166736912,3.911482793156995,25.0,s7,s3,s4,48.374519435540975,
15,GLV,0.3528,0.281,0.0711,43.69135757008715,1.749532108185972,3.6131654859699798,25.0,s4,s2,s4,49.0540551642431,
