trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,obj_surf_conc
40,IBP,0.2063,0.3073,0.0373,0.9520324467011921,3.6803798209394315e-16,20.95308609221616,25.0,s6,s5,s1,21.905118538917353,
41,IBP,0.2063,0.3073,0.0373,7.4963800900480555,1.0020942055925993e-07,21.192308873359078,25.0,s6,s5,s1,28.688689063616554,
42,LOV,0.4045,0.4196,0.0728,0.0,0.0,19.78384770339217,25.0,s6,s5,s1,19.78384770339217,
43,LOV,0.4045,0.4196,0.0728,7.190707310558067e-16,1.4946145896706352e-15,19.785708340818076,25.0,s6,s5,s1,19.78570834081808,
44,DCF,0.2962,0.4364,0.0493,11.66639745724423,5.659532929283732,11.723830928150054,25.0,s6,s1,s1,29.049761314678015,
45,DCF,0.2962,0.4364,0.0493,20.61346199192236,7.832202209158077,11.677892617192168,25.0,s6,s1,s1,40.123556818272604,
46,GLV,0.3528,0.281,0.0711,2.3384600761836722,0.0,21.25468851322351,25.0,s6,s5,s1,23.593148589407182,
47,GLV,0.3528,0.281,0.0711,1.788245175104889e-16,0.0,21.217137878401985,25.0,s6,s5,s1,21.217137878401985,
