trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
78,0.3528,0.281,0.0711,30,0,0,0,0,0,0,0,70,100,,,
79,0.3528,0.281,0.0711,3,0,0,8,0,0,13,1,100,100,,,
80,0.3528,0.281,0.0711,3,40,0,0,0,0,0,0,100,100,,,
