trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,obj_surf_conc
24,IBP,0.2063,0.3073,0.0373,3.4540533702457026,2.923349497843976e-15,20.991451133464853,25.0,s6,s5,s1,24.44550450371056,
25,IBP,0.2063,0.3073,0.0373,4.061353610195819,5.0783153891298567e-17,21.040603865846474,25.0,s6,s5,s1,25.101957476042294,
26,LOV,0.4045,0.4196,0.0728,2.292980798673601,6.994903549029776e-16,19.25956636895013,25.0,s6,s5,s1,21.55254716762373,
27,LOV,0.4045,0.4196,0.0728,1.7244701761129602,0.0,19.282680694649606,25.0,s6,s5,s1,21.007150870762565,
28,DCF,0.2962,0.4364,0.0493,4.362708314034968,5.915596846217909,11.544758751351168,25.0,s6,s1,s1,21.823063911604045,
29,DCF,0.2962,0.4364,0.0493,5.429148868603685,5.7993724732595195,11.58454454918471,25.0,s6,s1,s1,22.813065891047913,
30,GLV,0.3528,0.281,0.0711,7.842217655762397,1.0337760609728898e-16,19.18240503559282,25.0,s6,s5,s1,27.024622691355216,
31,GLV,0.3528,0.281,0.0711,8.31425270226393,5.411696605876135e-16,19.17308198901006,25.0,s6,s5,s1,27.487334691273993,
