trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
0,0.206,0.307,0.037,47,59,50,31,96,8,10,35,85,100,,,
1,0.206,0.307,0.037,74,0,89,66,22,52,57,79,35,100,,,
2,0.206,0.307,0.037,78,88,1,3,32,94,44,58,1,100,,,
