trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
18,0.206,0.307,0.037,0,0,0,100,0,0,86,0,1,100,,,,,,
19,0.206,0.307,0.037,0,0,0,0,0,0,100,0,1,100,,,,,,
20,0.206,0.307,0.037,0,0,0,100,73,0,100,100,1,100,,,,,,
21,0.206,0.307,0.037,0,0,0,100,0,0,39,0,1,91,,,,,,
22,0.206,0.307,0.037,0,0,0,100,0,0,100,32,1,100,,,,,,
23,0.206,0.307,0.037,0,0,0,0,58,0,100,100,1,100,,,,,,
