trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
0,0.206,0.307,0.037,47,59,49,31,96,8,9,35,85,77,,,,,,
1,0.206,0.307,0.037,95,22,76,63,42,71,55,99,35,3,,,,,,
2,0.206,0.307,0.037,52,98,4,13,22,89,28,56,18,33,,,,,,
3,0.206,0.307,0.037,6,33,71,83,63,25,87,16,68,59,,,,,,
4,0.206,0.307,0.037,25,86,97,99,58,17,47,64,1,24,,,,,,
5,0.206,0.307,0.037,72,45,28,4,5,54,93,2,51,99,,,,,,
