trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
6,0.206,0.307,0.037,48,0,100,100,0,0,100,0,1,100,,,,
7,0.206,0.307,0.037,0,45,100,100,0,100,100,0,1,100,,,,
8,0.206,0.307,0.037,100,78,100,100,0,0,100,0,1,100,,,,
9,0.206,0.307,0.037,0,0,100,0,100,100,100,0,1,100,,,,
10,0.206,0.307,0.037,100,0,0,100,0,0,100,0,1,1,,,,
11,0.206,0.307,0.037,100,100,100,100,0,100,100,0,100,100,,,,
