trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
30,0.206,0.307,0.037,0,0,0,0,0,0,0,0,22,1,,,,,,
31,0.206,0.307,0.037,0,0,0,0,0,0,0,0,3,38,,,,,,
32,0.206,0.307,0.037,0,0,0,0,0,0,0,0,38,1,,,,,,
33,0.206,0.307,0.037,0,0,0,0,0,0,0,0,7,100,,,,,,
34,0.206,0.307,0.037,0,0,0,0,0,0,0,0,30,68,,,,,,
35,0.206,0.307,0.037,0,0,0,0,0,0,0,0,14,58,,,,,,
