trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
6,0,0,100,100,62,100,100,100,72,1,100,,,,,,
7,0,0,100,100,60,0,100,0,100,1,1,,,,,,
8,0,0,100,100,58,100,0,0,0,1,100,,,,,,
9,0,0,100,0,65,100,100,100,0,1,1,,,,,,
10,0,0,100,100,0,0,100,100,100,1,100,,,,,,
11,0,0,100,100,59,100,0,100,100,1,1,,,,,,
