trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,drugs,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
48,IBP,0.2063,0.3073,0.0373,0,3,13,25.0,s4,s4,16,
49,LOV,0.4045,0.4196,0.0728,2,10,18,25.0,s3,s4,28,
50,DCF,0.2962,0.4364,0.0493,1,26,2,25.0,s2,s5,28,
51,GLV,0.3528,0.281,0.0711,5,4,11,25.0,s6,s1,15,
52,IBP,0.2063,0.3073,0.0373,0,26,4,25.0,s2,s5,30,
53,LOV,0.4045,0.4196,0.0728,2,5,18,25.0,s3,s4,23,
54,DCF,0.2962,0.4364,0.0493,1,25,3,25.0,s2,s5,28,
55,GLV,0.3528,0.281,0.0711,5,3,12,25.0,s6,s1,15,
