trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,obj_surf_conc
100,IBP,0.2063,0.3073,0.0373,63,23,6,25.0,s4,s4,s2,92,
101,LOV,0.4045,0.4196,0.0728,20,44,11,25.0,s6,s6,s8,75,
102,DCF,0.2962,0.4364,0.0493,4,1,31,25.0,s1,s3,s7,36,
103,GLV,0.3528,0.281,0.0711,4,22,13,25.0,s4,s4,s8,39,
