trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,original_total_vol,reported_vol,success,absorbance,prior_best_vol,is_new_record,status
21,IBP,D7,D7,1,A1,G4,2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,170.0,180.0,1800.0,0,0.267,225.0,False,COMPLETED
22,IBP,D9,D9,1,A1,G4,2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,170.0,175.0,1750.0,0,0.809,225.0,False,COMPLETED
23,IBP,D11,D11,1,A1,G4,2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,175.0,180.0,1800.0,0,0.841,225.0,False,COMPLETED
