trial_index,s1,s2,s3,s4,s5,s6,s7,s8,s9,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
24,100,100,0,11,100,0,0,0,100,1,100,,,,,,
25,0,0,0,11,0,0,100,0,0,1,1,,,,,,
26,0,0,0,11,100,0,0,60,100,1,100,,,,,,
27,100,0,100,11,100,100,100,100,0,1,100,,,,,,
28,0,100,100,10,100,100,100,0,100,1,1,,,,,,
29,0,0,100,10,100,0,0,0,0,1,1,,,,,,
