trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
0,0.206,0.307,0.037,48,59,50,31,96,8,9,35,86,77,,,,
1,0.206,0.307,0.037,95,22,75,63,43,72,55,100,35,3,,,,
2,0.206,0.307,0.037,53,98,4,13,22,90,29,56,18,32,,,,
3,0.206,0.307,0.037,6,33,71,83,63,26,87,16,68,58,,,,
4,0.206,0.307,0.037,24,86,97,98,58,17,48,64,1,25,,,,
5,0.206,0.307,0.037,72,45,29,4,5,53,93,2,51,99,,,,
