trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
0,0.206,0.307,0.037,47,59,49,31,96,8,10,35,86,77,,,,
1,0.206,0.307,0.037,94,22,76,63,42,72,55,99,35,3,,,,
2,0.206,0.307,0.037,53,99,4,13,22,89,28,56,18,33,,,,
3,0.206,0.307,0.037,6,34,70,82,63,25,87,16,68,59,,,,
4,0.206,0.307,0.037,24,87,96,99,59,17,48,64,1,24,,,,
5,0.206,0.307,0.037,72,46,29,4,5,54,93,3,51,99,,,,
