trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,success,surfactant_input,Complexity
0,IBP,0.2063,0.3073,0.0373,48,60,49,31,96,8,9,35,86,100,,,
1,IBP,0.2063,0.3073,0.0373,74,0,88,66,22,52,58,79,35,100,,,
2,LOV,0.4045,0.4196,0.0728,78,88,1,3,32,94,44,58,1,100,,,
3,LOV,0.4045,0.4196,0.0728,0,46,61,94,63,49,98,0,52,100,,,
4,DCF,0.2962,0.4364,0.0493,16,82,85,84,71,23,35,65,21,100,,,
5,DCF,0.2962,0.4364,0.0493,93,27,27,17,47,67,83,22,71,100,,,
6,GLV,0.3528,0.281,0.0711,59,65,62,55,7,76,19,43,94,100,,,
7,GLV,0.3528,0.281,0.0711,31,19,25,46,87,32,74,99,44,100,,,
