trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,Loading,Loading_STD,Surfactant_conc,Surfactant_conc_STD,Complexity,Complexity_STD
6,0.206,0.307,0.037,0,0,0,100,100,100,100,100,1,100,,,,,,
7,0.206,0.307,0.037,0,100,100,100,100,100,100,100,1,100,,,,,,
8,0.206,0.307,0.037,0,0,0,100,100,0,100,0,1,1,,,,,,
9,0.206,0.307,0.037,0,100,100,100,0,100,100,0,100,1,,,,,,
10,0.206,0.307,0.037,0,0,100,100,0,100,0,0,1,1,,,,,,
11,0.206,0.307,0.037,0,0,100,100,0,0,100,100,100,100,,,,,,
