trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,obj_total_vol
18,IBP,D1,D1,0,C12,C3,2,185.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,340.0,
19,IBP,D3,D3,0,C12,C3,2,185.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,340.0,
20,IBP,D5,D5,0,C12,C3,2,165.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,220.0,
21,IBP,D7,D7,0,C12,C3,2,165.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,220.0,
22,IBP,D9,D9,0,C12,C3,2,150.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,155.0,
23,IBP,D11,D11,0,C12,C3,2,150.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,155.0,
