trial_index,Drug_MW,Drug_LogP,Drug_TPSA,s1,s2,s3,s4,s5,s6,s7,s8,surfactant_conc,drug_conc,micelle_drug_conc,success,initial_drug_conc_surfactant_conc_ratio,Complexity
0,0.206,0.307,0.037,48,59,50,31,96,8,10,34,86,77,,,,
1,0.206,0.307,0.037,95,22,76,63,43,71,55,100,35,2,,,,
2,0.206,0.307,0.037,52,99,4,13,22,89,29,56,18,33,,,,
3,0.206,0.307,0.037,6,33,71,83,63,25,87,16,67,58,,,,
4,0.206,0.307,0.037,25,86,97,99,58,17,48,64,1,24,,,,
5,0.206,0.307,0.037,72,46,28,4,5,53,93,2,51,99,,,,
